"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"101955 Bennu (1999 RQ36)","2178-2290","157","5.7e-4","5.99","20.6","0.490","-1.41","-1.59","","a0101955"
"29075 (1950 DA)","2880-2880","1","2.9e-5","14.10","17.9","1.300","-2.05","-2.05","","a0029075"
"(1979 XB)","2056-2113","4","8.5e-7","23.75","18.5","0.660","-2.73","-3.04","0","bJ79X00B"
"(2000 SG344)","2069-2121","330","2.8e-3","1.36","24.8","0.037","-2.79","-3.14","0","bK00SY4G"
"(2007 FT3)","2024-2119","88","8.4e-7","17.07","20.0","0.341","-2.93","-3.27","0","bK07F03T"
"(2021 EU)","2024-2093","8","7.7e-5","21.38","25.4","0.028","-3.03","-3.07","0","bK21E00U"
"(2008 JL3)","2027-2122","43","1.6e-4","8.42","25.3","0.029","-3.09","-3.09","0","bK08J03L"
"(2022 OT1)","2039-2121","53","4.4e-4","6.56","25.1","0.032","-3.14","-3.18","0","bK22O01T"
"(2005 ED224)","2023-2064","3","2.6e-6","24.97","24.0","0.054","-3.17","-3.17","0","bK05EM4D"
"(2010 RF12)","2095-2121","144","4.7e-2","5.10","28.4","0.007","-3.31","-3.32","0","bK10R12F"
"(2022 EK4)","2057-2115","152","3.4e-3","7.98","26.4","0.018","-3.34","-3.59","0","bK22E04K"
"(2005 QK76)","2030-2059","6","7.2e-5","19.67","25.2","0.031","-3.35","-3.48","0","bK05Q76K"
"(2021 GX9)","2032-2052","2","8.1e-5","16.79","25.3","0.029","-3.41","-3.41","0","bK21G09X"
"(2020 FA5)","2110-2110","2","2.7e-6","27.53","21.1","0.210","-3.53","-3.62","0","bK20F05A"
"(2015 JJ)","2111-2111","1","2.1e-5","10.70","22.1","0.130","-3.57","-3.57","0","bK15J00J"
"(2008 UB7)","2044-2101","52","3.3e-5","18.53","23.8","0.058","-3.66","-4.28","0","bK08U07B"
"(2007 DX40)","2035-2121","97","8.0e-5","15.53","24.6","0.040","-3.68","-4.08","0","bK07D40X"
"(2000 SB45)","2067-2118","202","1.6e-4","7.53","24.3","0.046","-3.73","-4.22","0","bK00S45B"
"(2012 QD8)","2047-2120","16","6.1e-6","20.76","23.1","0.081","-3.76","-3.84","0","bK12Q08D"
"(2008 EX5)","2056-2090","25","5.3e-5","9.92","23.8","0.059","-3.80","-4.08","0","bK08E05X"
"(2020 VW)","2074-2094","16","7.0e-3","9.69","28.3","0.007","-3.84","-4.13","0","bK20V00W"
"(2017 WT28)","2083-2121","118","1.2e-2","4.47","28.1","0.008","-3.85","-3.87","0","bK17W28T"
"(2020 VV)","2044-2120","447","2.3e-3","2.58","27.3","0.012","-3.86","-4.35","0","bK20V00V"
"(2022 NX1)","2075-2122","245","8.3e-3","NaN","28.0","0.009","-3.86","-4.46","0","bK22N01X"
"(2013 VW13)","2063-2095","15","4.4e-4","16.35","26.2","0.019","-3.89","-4.06","0","bK13V13W"
"(2012 HG2)","2052-2121","721","1.8e-3","3.32","27.0","0.014","-3.90","-4.35","0","bK12H02G"
"(2020 OB)","2114-2121","8","1.7e-5","25.44","23.7","0.062","-4.04","-4.28","0","bK20O00B"
"(2009 BE)","2037-2121","87","3.6e-4","11.46","26.1","0.020","-4.08","-4.39","0","bK09B00E"
"(2008 CC71)","2034-2082","32","4.2e-5","8.05","24.9","0.036","-4.09","-4.43","0","bK08C71C"
"(2015 YJ)","2042-2121","128","1.7e-3","16.35","28.3","0.007","-4.09","-4.32","0","bK15Y00J"
"(2006 DM63)","2031-2122","44","1.4e-4","10.37","26.7","0.015","-4.10","-4.38","0","bK06D63M"
"(2010 GM23)","2087-2121","57","8.1e-5","13.44","24.7","0.039","-4.12","-4.70","0","bK10G23M"
"(2014 GN1)","2061-2065","2","2.1e-5","21.23","24.6","0.041","-4.12","-4.12","0","bK14G01N"
"(2020 KD3)","2083-2104","21","6.0e-4","7.93","26.4","0.017","-4.12","-4.13","0","bK20K03D"
"(2002 RB182)","2036-2120","33","8.0e-6","13.76","22.8","0.092","-4.15","-4.91","0","bK02RI2B"
"(2010 CR5)","2062-2062","3","7.9e-8","23.87","19.8","0.370","-4.17","-4.19","0","bK10C05R"
"(2017 LD)","2053-2121","312","2.2e-3","4.49","27.5","0.011","-4.17","-4.73","0","bK17L00D"
"(2006 JY26)","2073-2122","115","5.0e-3","2.98","28.4","0.007","-4.17","-4.19","0","bK06J26Y"
"(2020 MJ)","2083-2107","35","1.0e-4","17.06","25.3","0.030","-4.18","-4.37","0","bK20M00J"
"(2020 US7)","2028-2121","120","3.7e-5","7.32","25.8","0.023","-4.18","-4.22","0","bK20U07S"
"(2021 AM6)","2064-2120","67","5.2e-4","5.21","26.6","0.016","-4.20","-4.54","0","bK21A06M"
"(2007 KE4)","2026-2115","5","1.5e-5","10.07","25.2","0.031","-4.21","-4.24","0","bK07K04E"
"(2021 GE2)","2030-2030","1","7.3e-4","15.36","29.1","0.005","-4.21","-4.21","0","bK21G02E"
"(2010 UK)","2068-2121","47","6.7e-4","6.08","26.9","0.014","-4.22","-4.23","0","bK10U00K"
"(1994 GK)","2050-2067","9","1.7e-5","14.88","24.2","0.048","-4.22","-4.24","0","bJ94G00K"
"(2012 VE77)","2033-2035","2","4.8e-5","15.33","26.3","0.018","-4.24","-4.24","0","bK12V77E"
"(2008 HJ)","2077-2121","33","2.6e-4","7.53","25.8","0.024","-4.26","-4.73","0","bK08H00J"
"(2014 JU15)","2071-2121","132","5.7e-5","10.35","24.7","0.039","-4.28","-5.06","0","bK14J15U"
"(2016 WG)","2076-2118","44","5.0e-6","23.60","23.3","0.075","-4.28","-4.94","0","bK16W00G"
"(2019 LW4)","2083-2117","36","1.0e-3","8.62","27.3","0.012","-4.28","-4.32","0","bK19L04W"
"(2006 CM10)","2092-2092","1","1.0e-6","22.34","21.7","0.150","-4.29","-4.29","0","bK06C10M"
"(2013 TP4)","2026-2026","1","3.5e-5","25.30","27.5","0.011","-4.30","-4.30","0","bK13T04P"
"(2022 KM4)","2075-2075","2","2.7e-7","24.97","20.9","0.220","-4.30","-4.40","0","bK22K04M"
"(2011 DU9)","2041-2059","6","1.9e-4","8.77","26.7","0.016","-4.31","-4.32","0","bK11D09U"
"(2022 PC)","2084-2122","42","3.5e-5","4.95","23.8","0.059","-4.32","-4.85","0","bK22P00C"
"(2011 BL45)","2050-2121","301","1.0e-3","1.68","27.1","0.013","-4.34","-4.55","0","bK11B45L"
"(2020 CQ1)","2070-2119","46","4.6e-3","4.90","28.8","0.006","-4.36","-4.37","0","bK20C01Q"
"(2005 XA8)","2069-2090","38","9.4e-5","12.08","25.6","0.025","-4.37","-4.49","0","bK05X08A"
"(2019 LU1)","2056-2068","6","4.0e-6","31.82","24.3","0.048","-4.38","-4.42","0","bK19L01U"
"(2008 ST7)","2062-2112","25","2.7e-5","9.97","24.1","0.052","-4.38","-4.79","0","bK08S07T"
"(2011 EB74)","2032-2116","288","3.7e-4","7.49","27.0","0.013","-4.40","-5.02","0","bK11E74B"
"(2008 EZ84)","2072-2122","18","1.9e-4","7.92","26.2","0.020","-4.41","-4.71","0","bK08E84Z"
"(2016 RD34)","2051-2117","160","6.7e-4","1.13","27.4","0.011","-4.42","-4.74","0","bK16R34D"
"(2018 TY4)","2033-2060","2","3.1e-4","10.67","28.1","0.008","-4.43","-4.43","0","bK18T04Y"
"(2018 NJ)","2083-2121","34","1.6e-3","5.85","27.8","0.009","-4.43","-4.44","0","bK18N00J"
"(2018 JD)","2067-2116","20","2.6e-4","8.01","26.7","0.016","-4.47","-4.47","0","bK18J00D"
"(2006 RH120)","2044-2119","146","6.1e-3","NaN","29.6","0.004","-4.47","-4.56","0","bK06RC0H"
"(2012 MF7)","2046-2104","17","1.6e-4","8.70","26.8","0.015","-4.48","-4.53","0","bK12M07F"
"(2000 WJ107)","2110-2119","39","7.5e-6","12.77","23.1","0.081","-4.48","-4.81","0","bK00WA7J"
"(2022 OH2)","2070-2122","157","1.1e-3","3.62","27.4","0.011","-4.49","-4.86","0","bK22O02H"
"(2018 DQ)","2027-2121","108","2.1e-4","20.85","29.1","0.005","-4.49","-4.52","0","bK18D00Q"
"(2010 QG2)","2051-2066","7","9.6e-6","12.89","24.4","0.044","-4.49","-4.50","0","bK10Q02G"
"(2019 WG2)","2092-2121","72","4.4e-5","14.77","24.9","0.035","-4.50","-5.05","0","bK19W02G"
"(2021 SU1)","2054-2120","57","2.1e-4","6.24","26.6","0.017","-4.54","-4.65","0","bK21S01U"
"(2014 JU79)","2046-2121","5","2.2e-6","6.15","22.8","0.092","-4.55","-4.60","0","bK14J79U"
"(2007 KO4)","2030-2113","32","1.7e-6","13.77","23.3","0.076","-4.56","-5.16","0","bK07K04O"
"(2013 GM3)","2028-2117","133","1.4e-4","7.14","26.2","0.019","-4.56","-5.29","0","bK13G03M"
"(2020 XF)","2056-2121","513","4.0e-4","3.27","26.8","0.015","-4.56","-5.17","0","bK20X00F"
"(2021 VM1)","2081-2102","18","8.2e-5","14.56","25.8","0.024","-4.56","-4.64","0","bK21V01M"
"(2015 XA378)","2092-2121","38","5.7e-5","17.90","25.6","0.026","-4.57","-4.83","0","bK15Xb8A"
"(2017 SF20)","2034-2061","3","3.3e-4","10.44","28.4","0.007","-4.58","-4.58","0","bK17S20F"
"(2006 HF6)","2068-2112","27","1.1e-5","16.40","24.5","0.043","-4.58","-5.12","0","bK06H06F"
"(2021 TT1)","2048-2048","1","3.9e-5","17.12","26.2","0.019","-4.58","-4.58","0","bK21T01T"
"(2012 BA77)","2025-2088","18","2.8e-5","12.75","25.8","0.023","-4.61","-5.08","0","bK12B77A"
"(2018 GR4)","2058-2121","84","3.2e-4","2.60","27.1","0.013","-4.61","-4.67","0","bK18G04R"
"(2021 QY3)","2085-2119","79","1.0e-4","12.08","25.8","0.024","-4.61","-5.14","0","bK21Q03Y"
"(2021 YW)","2093-2109","32","1.7e-5","24.96","25.0","0.033","-4.63","-5.11","0","bK21Y00W"
"(2014 CR13)","2099-2117","28","9.0e-5","12.29","25.7","0.024","-4.63","-4.75","0","bK14C13R"
"(2007 WP3)","2098-2119","28","7.2e-6","13.03","23.5","0.067","-4.63","-4.92","0","bK07W03P"
"(2014 YN)","2093-2121","54","1.5e-4","3.28","25.7","0.024","-4.65","-5.21","0","bK14Y00N"
"(2017 FO63)","2088-2108","3","2.1e-6","29.28","23.4","0.070","-4.65","-4.66","0","bK17F63O"
"(2020 JK)","2063-2119","52","7.6e-6","18.69","24.1","0.052","-4.67","-5.41","0","bK20J00K"
"(2011 UM169)","2099-2108","25","3.2e-5","13.96","25.1","0.033","-4.68","-4.89","0","bK11UG9M"
"(2002 MN)","2053-2121","18","5.2e-6","10.35","23.3","0.073","-4.68","-5.21","0","bK02M00N"
"(2016 DK1)","2043-2121","122","3.0e-4","6.87","27.4","0.011","-4.68","-5.10","0","bK16D01K"
"(2020 UE)","2042-2120","46","3.1e-5","14.58","25.5","0.026","-4.68","-5.14","0","bK20U00E"
"(2020 VN1)","2115-2115","1","1.7e-3","2.96","27.9","0.009","-4.68","-4.68","0","bK20V01N"
"(2017 PY26)","2103-2121","14","1.3e-6","19.98","22.4","0.110","-4.68","-5.37","0","bK17P26Y"
"(2008 YO2)","2052-2120","73","2.9e-5","16.46","25.2","0.031","-4.69","-5.51","0","bK08Y02O"
"(2017 FO128)","2121-2121","2","1.9e-6","15.11","22.5","0.110","-4.70","-4.85","0","bK17FC8O"
"(2011 SO189)","2056-2102","16","9.9e-5","12.99","26.5","0.017","-4.70","-5.06","0","bK11SI9O"
"(2014 WA201)","2074-2084","14","1.6e-4","11.57","26.8","0.015","-4.71","-4.72","0","bK14WK1A"
"(2007 HB15)","2050-2122","110","5.1e-4","6.34","27.8","0.010","-4.71","-4.89","0","bK07H15B"
"(2020 DJ1)","2079-2118","44","2.6e-5","14.01","24.8","0.036","-4.71","-4.87","0","bK20D01J"
"(2017 YM1)","2049-2110","21","3.3e-5","11.08","25.1","0.032","-4.71","-4.96","0","bK17Y01M"
"(2017 VL2)","2087-2121","108","1.4e-4","8.33","26.1","0.021","-4.71","-5.37","0","bK17V02L"
"(2019 QR3)","2073-2089","23","2.4e-4","10.98","27.1","0.013","-4.73","-5.07","0","bK19Q03R"
"(2022 AT2)","2080-2080","1","2.6e-4","6.44","26.9","0.014","-4.74","-4.74","0","bK22A02T"
"(2011 CU46)","2042-2121","391","2.3e-5","16.04","25.4","0.028","-4.74","-5.57","0","bK11C46U"
"(2011 OB26)","2089-2121","92","5.8e-5","10.99","25.5","0.027","-4.75","-5.27","0","bK11O26B"
"(2021 UP)","2104-2120","32","8.1e-5","9.49","25.6","0.025","-4.75","-4.96","0","bK21U00P"
"(2012 EK5)","2064-2111","20","3.6e-5","15.13","25.6","0.026","-4.76","-5.04","0","bK12E05K"
"(2020 DF3)","2065-2101","5","2.8e-6","26.80","24.2","0.050","-4.76","-4.98","0","bK20D03F"
"(2010 VQ)","2034-2121","101","1.8e-4","4.56","27.7","0.010","-4.77","-4.84","0","bK10V00Q"
"(2018 NW)","2046-2121","114","3.4e-4","21.14","27.8","0.009","-4.77","-5.38","0","bK18N00W"
"(2010 KV7)","2034-2121","151","4.3e-5","5.37","26.0","0.021","-4.79","-5.11","0","bK10K07V"
"(2019 TU)","2088-2120","24","9.2e-5","9.72","26.0","0.021","-4.79","-4.80","0","bK19T00U"
"(2016 EO28)","2035-2065","34","5.9e-4","6.98","29.1","0.005","-4.79","-4.81","0","bK16E28O"
"(2011 XC2)","2056-2084","2","7.0e-7","20.75","23.0","0.085","-4.80","-4.80","0","bK11X02C"
"(2017 RV2)","2070-2121","59","1.4e-4","6.48","26.2","0.019","-4.84","-5.39","0","bK17R02V"
"(2011 VG9)","2104-2104","2","4.7e-7","24.87","22.2","0.120","-4.84","-5.00","0","bK11V09G"
"(2012 ES10)","2056-2064","6","1.2e-6","24.36","23.7","0.061","-4.84","-5.12","0","bK12E10S"
"(2018 NL)","2064-2121","25","3.8e-5","8.30","25.4","0.029","-4.84","-5.36","0","bK18N00L"
"(2002 GM5)","2064-2064","1","1.3e-7","20.44","21.4","0.180","-4.85","-4.85","0","bK02G05M"
"(2020 TY4)","2099-2099","2","9.3e-6","8.37","24.0","0.054","-4.85","-4.86","0","bK20T04Y"
"(2007 TC14)","2082-2082","1","3.0e-7","25.55","22.1","0.130","-4.86","-4.86","0","bK07T14C"
"(2021 JA1)","2084-2121","39","2.8e-5","20.99","25.6","0.026","-4.86","-5.28","0","bK21J01A"
"(2019 WE)","2044-2080","9","7.4e-5","8.15","26.8","0.015","-4.88","-4.99","0","bK19W00E"
"(2007 VE8)","2062-2062","1","2.1e-5","9.05","25.4","0.028","-4.89","-4.89","0","bK07V08E"
"(2021 EO2)","2037-2121","202","2.0e-4","5.81","27.8","0.009","-4.89","-4.96","0","bK21E02O"
"(2019 SJ)","2082-2120","21","4.5e-4","8.52","27.6","0.010","-4.89","-5.21","0","bK19S00J"
"(2016 VB1)","2065-2121","191","1.4e-3","5.45","28.6","0.007","-4.90","-5.48","0","bK16V01B"
"(2020 YN)","2046-2060","6","9.1e-5","16.19","27.7","0.010","-4.90","-4.91","0","bK20Y00N"
"(2021 WA1)","2116-2117","2","3.5e-4","13.88","27.6","0.010","-4.90","-4.95","0","bK21W01A"
"(2021 UJ6)","2055-2110","6","2.2e-4","17.51","28.3","0.007","-4.90","-4.94","0","bK21U06J"
"(2021 EJ3)","2078-2121","151","7.2e-4","2.16","27.7","0.010","-4.91","-5.37","0","bK21E03J"
"(2002 VU17)","2084-2099","5","1.2e-5","13.69","24.8","0.038","-4.91","-5.35","0","bK02V17U"
"(2009 WP6)","2072-2121","56","4.3e-5","25.34","26.8","0.015","-4.92","-5.20","0","bK09W06P"
"(2011 MX)","2059-2092","32","1.1e-4","12.15","26.9","0.014","-4.92","-5.24","0","bK11M00X"
"(2020 HL1)","2055-2066","3","1.4e-5","9.44","25.3","0.030","-4.92","-5.04","0","bK20H01L"
"(2019 AU6)","2064-2120","21","7.9e-5","8.73","26.6","0.016","-4.94","-5.22","0","bK19A06U"
"(2009 VA)","2022-2043","19","5.1e-5","8.23","28.6","0.006","-4.94","-5.86","0","bK09V00A"
"(2019 WU2)","2080-2109","21","1.1e-5","11.53","24.6","0.041","-4.94","-5.05","0","bK19W02U"
"(2020 GZ2)","2049-2070","7","2.2e-4","9.54","28.1","0.008","-4.94","-4.95","0","bK20G02Z"
"(2020 YA3)","2070-2119","9","3.7e-5","12.20","26.0","0.021","-4.94","-4.96","0","bK20Y03A"
"(2021 RB6)","2075-2117","14","4.3e-4","9.23","28.0","0.009","-4.95","-4.98","0","bK21R06B"
"(2010 JH110)","2071-2120","7","8.4e-5","8.07","26.3","0.019","-4.95","-5.12","0","bK10JB0H"
"(2013 EV27)","2038-2087","3","2.9e-5","12.37","27.0","0.014","-4.97","-4.97","0","bK13E27V"
"(2005 EL70)","2034-2034","1","2.3e-7","35.53","24.1","0.052","-4.99","-4.99","0","bK05E70L"
"(2005 CC37)","2117-2117","1","1.9e-6","8.42","22.7","0.098","-5.00","-5.00","0","bK05C37C"
"(1996 TC1)","2064-2072","4","1.3e-6","24.00","23.9","0.055","-5.00","-5.03","0","bJ96T01C"
"(2000 LG6)","2081-2122","111","2.1e-3","2.11","29.0","0.005","-5.01","-5.42","0","bK00L06G"
"(2020 BW5)","2046-2121","35","3.2e-5","8.67","26.4","0.018","-5.01","-5.06","0","bK20B05W"
"(2020 XA6)","2062-2073","6","1.9e-6","20.69","24.1","0.052","-5.01","-5.40","0","bK20X06A"
"(2004 VM24)","2049-2114","46","2.4e-5","12.86","25.7","0.025","-5.02","-5.67","0","bK04V24M"
"(2017 GG8)","2066-2078","5","2.9e-5","11.46","26.1","0.021","-5.02","-5.07","0","bK17G08G"
"(2018 XQ2)","2065-2121","140","7.4e-4","3.81","28.1","0.008","-5.02","-5.51","0","bK18X02Q"
"(2016 LP10)","2023-2119","37","1.1e-4","15.57","29.5","0.004","-5.04","-5.08","0","bK16L10P"
"(2004 GE2)","2106-2109","2","1.6e-7","20.56","21.4","0.180","-5.04","-5.06","0","bK04G02E"
"(2022 OR1)","2090-2122","185","6.7e-4","4.49","27.9","0.009","-5.04","-5.63","0","bK22O01R"
"(2006 JE)","2094-2112","7","1.7e-6","26.27","23.8","0.058","-5.04","-5.20","0","bK06J00E"
"(2009 FJ)","2058-2121","16","1.5e-5","8.94","24.9","0.036","-5.05","-5.44","0","bK09F00J"
"(2020 HB3)","2111-2121","26","2.0e-5","11.44","25.1","0.032","-5.05","-5.56","0","bK20H03B"
"(2021 EC4)","2094-2121","25","4.9e-6","16.13","24.2","0.049","-5.07","-5.21","0","bK21E04C"
"(2019 JO1)","2044-2052","3","4.0e-5","18.23","27.3","0.012","-5.07","-5.09","0","bK19J01O"
"(2009 TH8)","2097-2100","4","9.9e-6","13.03","24.9","0.036","-5.09","-5.15","0","bK09T08H"
"(1994 GV)","2036-2119","89","1.8e-4","8.09","27.5","0.011","-5.09","-5.68","0","bJ94G00V"
"(2020 KN2)","2063-2121","35","4.2e-5","7.88","26.4","0.018","-5.09","-5.12","0","bK20K02N"
"(2012 SY49)","2031-2120","39","1.0e-5","15.64","25.8","0.023","-5.09","-5.44","0","bK12S49Y"
"(2016 HF3)","2078-2078","1","9.6e-6","7.93","24.8","0.037","-5.09","-5.09","0","bK16H03F"
"(2016 SA2)","2111-2121","27","7.9e-4","5.20","28.1","0.008","-5.09","-5.49","0","bK16S02A"
"(2014 UD57)","2076-2121","28","3.5e-5","8.72","25.8","0.023","-5.09","-5.17","0","bK14U57D"
"(2006 BC8)","2050-2121","54","1.3e-5","13.16","25.1","0.032","-5.10","-5.42","0","bK06B08C"
"(2009 BR5)","2066-2078","4","2.3e-7","17.97","22.1","0.130","-5.11","-5.15","0","bK09B05R"
"(2016 NL39)","2055-2121","321","3.0e-4","3.94","27.6","0.010","-5.11","-5.92","0","bK16N39L"
"(2021 DR)","2046-2121","237","3.3e-4","3.44","27.8","0.009","-5.11","-5.61","0","bK21D00R"
"(2021 TW2)","2079-2121","44","4.8e-5","3.81","25.7","0.025","-5.11","-5.26","0","bK21T02W"
"(2010 VW194)","2042-2121","56","6.5e-5","7.31","26.5","0.017","-5.12","-5.71","0","bK10VJ4W"
"(2010 JL88)","2037-2121","188","6.2e-5","14.87","26.8","0.015","-5.13","-5.86","0","bK10J88L"
"(1995 CS)","2042-2063","15","2.7e-6","25.22","25.5","0.028","-5.14","-5.33","0","bJ95C00S"
"(2007 CC27)","2056-2107","63","7.6e-5","10.88","26.9","0.014","-5.14","-5.65","0","bK07C27C"
"(2004 PU42)","2071-2121","45","7.6e-5","10.12","26.8","0.015","-5.15","-5.87","0","bK04P42U"
"(2017 NT5)","2094-2115","8","6.7e-7","20.15","22.9","0.090","-5.15","-5.56","0","bK17N05T"
"(2009 OW6)","2077-2120","13","2.0e-5","6.64","25.3","0.029","-5.16","-5.38","0","bK09O06W"
"(2021 VP8)","2073-2117","16","6.7e-5","6.58","26.2","0.019","-5.16","-5.24","0","bK21V08P"
"(2021 VA9)","2039-2120","25","9.0e-5","6.87","26.6","0.016","-5.16","-5.17","0","bK21V09A"
"(2007 DS7)","2048-2118","27","2.1e-5","12.39","25.9","0.023","-5.17","-5.39","0","bK07D07S"
"(2020 CO2)","2048-2118","40","3.6e-5","15.78","26.7","0.016","-5.18","-5.41","0","bK20C02O"
"(2021 VB)","2091-2119","55","4.1e-5","6.23","25.8","0.023","-5.18","-5.63","0","bK21V00B"
"(2013 BL18)","2077-2092","7","2.1e-5","14.19","26.0","0.022","-5.19","-5.34","0","bK13B18L"
"(2017 SA20)","2027-2121","1264","4.5e-4","5.87","28.4","0.007","-5.19","-6.38","0","bK17S20A"
"(2019 FE)","2095-2106","2","4.9e-6","9.93","24.2","0.050","-5.20","-5.23","0","bK19F00E"
"(2022 MK1)","2099-2118","9","4.4e-6","6.44","23.8","0.059","-5.20","-5.70","0","bK22M01K"
"(2020 CD3)","2082-2118","115","2.5e-2","NaN","31.8","0.002","-5.20","-5.66","0","bK20C03D"
"(2011 AM37)","2048-2119","168","1.2e-3","3.65","29.7","0.004","-5.21","-5.33","0","bK11A37M"
"(2014 JR24)","2069-2121","81","1.2e-3","3.72","29.3","0.005","-5.21","-5.25","0","bK14J24R"
"(2019 XV)","2053-2121","317","1.7e-3","1.33","29.2","0.005","-5.21","-5.93","0","bK19X00V"
"(2021 GG1)","2073-2120","71","5.0e-5","14.78","26.6","0.016","-5.21","-5.81","0","bK21G01G"
"(2001 BA16)","2040-2051","3","9.5e-6","4.90","25.8","0.023","-5.21","-5.24","0","bK01B16A"
"(2021 SQ)","2062-2071","5","2.5e-4","10.56","28.4","0.007","-5.21","-5.23","0","bK21S00Q"
"(2009 CZ1)","2058-2111","4","1.7e-6","17.84","24.4","0.044","-5.22","-5.63","0","bK09C01Z"
"(1999 RZ31)","2056-2056","1","1.4e-6","8.20","23.8","0.059","-5.22","-5.22","0","bJ99R31Z"
"(2006 QN111)","2079-2079","1","1.9e-6","10.55","23.8","0.060","-5.23","-5.23","0","bK06QB1N"
"(2012 WS3)","2082-2120","58","3.6e-5","8.79","25.9","0.022","-5.23","-5.65","0","bK12W03S"
"(2020 VB5)","2037-2037","1","2.6e-5","16.91","27.7","0.010","-5.23","-5.23","0","bK20V05B"
"(2016 DA31)","2031-2121","299","3.4e-4","13.73","29.9","0.004","-5.24","-5.68","0","bK16D31A"
"(2018 CM)","2054-2120","19","1.6e-4","9.50","27.8","0.009","-5.24","-5.32","0","bK18C00M"
"(2008 PK9)","2057-2065","2","2.9e-7","25.29","23.3","0.074","-5.24","-5.29","0","bK08P09K"
"(2021 XV)","2045-2071","34","8.2e-4","10.73","30.1","0.003","-5.24","-5.48","0","bK21X00V"
"(2021 OV)","2029-2120","129","3.2e-5","13.83","27.7","0.010","-5.25","-5.46","0","bK21O00V"
"(2009 TD17)","2039-2121","156","6.9e-5","6.60","27.7","0.010","-5.26","-5.34","0","bK09T17D"
"(1991 BA)","2023-2115","43","7.6e-6","17.69","28.7","0.006","-5.26","-5.27","0","bJ91B00A"
"(2017 VJ)","2109-2121","30","6.5e-6","11.52","24.5","0.042","-5.26","-5.89","0","bK17V00J"
"(2021 JE1)","2064-2121","93","5.7e-5","8.17","26.7","0.016","-5.26","-5.63","0","bK21J01E"
"(2021 LD6)","2106-2118","8","2.0e-4","2.88","27.3","0.012","-5.26","-5.72","0","bK21L06D"
"(2011 KF36)","2022-2031","8","1.0e-9","22.13","20.4","0.276","-5.28","-5.56","0","bK11K36F"
"(2020 WG5)","2086-2121","26","2.3e-4","5.96","27.7","0.010","-5.28","-5.39","0","bK20W05G"
"(2007 UO6)","2031-2113","13","2.0e-5","11.68","27.4","0.011","-5.29","-5.53","0","bK07U06O"
"(2015 KG158)","2045-2121","93","2.6e-4","7.69","28.3","0.007","-5.30","-5.37","0","bK15KF8G"
"(2013 WM)","2047-2105","2","3.8e-7","35.41","23.9","0.055","-5.30","-5.48","0","bK13W00M"
"(2007 SN6)","2022-2022","1","6.1e-8","19.01","25.0","0.034","-5.30","-5.30","0","bK07S06N"
"443104 (2013 XK22)","2101-2101","1","4.5e-6","6.90","24.2","0.050","-5.30","-5.30","0","a0443104"
"(2020 OR4)","2093-2121","19","8.2e-6","21.37","25.6","0.025","-5.31","-5.62","0","bK20O04R"
"(2008 ST)","2048-2121","68","1.3e-4","3.24","27.1","0.013","-5.31","-5.70","0","bK08S00T"
"(2020 HQ4)","2051-2121","264","9.1e-5","3.52","27.0","0.014","-5.31","-6.05","0","bK20H04Q"
"(2012 BY1)","2043-2074","10","4.5e-6","18.19","25.8","0.024","-5.31","-5.49","0","bK12B01Y"
"(2020 BK3)","2091-2105","5","6.3e-5","10.38","26.9","0.014","-5.31","-5.32","0","bK20B03K"
"(2018 TP5)","2074-2113","50","1.7e-5","10.86","25.8","0.024","-5.32","-5.87","0","bK18T05P"
"(2020 XE)","2040-2040","1","3.1e-6","24.11","26.3","0.019","-5.32","-5.32","0","bK20X00E"
"(2018 GE2)","2060-2121","59","8.5e-5","6.11","27.0","0.013","-5.33","-5.82","0","bK18G02E"
"(2021 EL3)","2088-2121","202","7.9e-4","5.40","28.8","0.006","-5.33","-5.81","0","bK21E03L"
"(2020 BY1)","2049-2049","2","8.2e-6","16.64","26.4","0.018","-5.34","-5.34","0","bK20B01Y"
"(2010 GH7)","2099-2121","138","1.7e-4","5.05","27.3","0.012","-5.35","-5.87","0","bK10G07H"
"(2008 CT1)","2028-2122","75","8.7e-5","13.78","27.6","0.010","-5.35","-6.09","0","bK08C01T"
"(2022 AP1)","2059-2120","35","1.6e-4","10.49","28.3","0.007","-5.35","-5.68","0","bK22A01P"
"(2018 PZ21)","2045-2119","24","4.0e-5","6.30","26.7","0.016","-5.35","-5.42","0","bK18P21Z"
"(2010 HV20)","2116-2116","4","1.2e-7","24.74","21.9","0.140","-5.36","-5.50","0","bK10H20V"
"(2021 VY4)","2103-2121","49","3.3e-5","13.91","26.4","0.018","-5.36","-5.90","0","bK21V04Y"
"(2018 JN)","2100-2120","6","1.2e-5","7.76","25.1","0.033","-5.37","-5.53","0","bK18J00N"
"(2015 BW516)","2052-2114","6","6.2e-5","11.49","27.7","0.010","-5.37","-5.67","0","bK15Bp6W"
"(2019 HS3)","2055-2083","8","1.0e-5","26.19","26.9","0.014","-5.37","-5.42","0","bK19H03S"
"(2005 AU3)","2048-2121","77","1.7e-5","14.40","26.0","0.021","-5.37","-6.11","0","bK05A03U"
"(2005 WG57)","2029-2107","12","7.1e-7","9.88","23.6","0.063","-5.37","-5.56","0","bK05W57G"
